DataType,KNN,Dimensions,NumPoints,Time,Distribution
Bucket,1,2,50,0.000034,Gaussian
Bucket,1,2,100,0.000050,Gaussian
Bucket,1,2,200,0.000052,Gaussian
Bucket,1,2,400,0.000032,Gaussian
Bucket,1,2,800,0.000047,Gaussian
Bucket,1,2,1600,0.000043,Gaussian
Bucket,1,2,3200,0.000042,Gaussian
Bucket,1,2,6400,0.000047,Gaussian
Bucket,1,2,12800,0.000036,Gaussian
Bucket,1,2,25600,0.000036,Gaussian
Bucket,1,2,51200,0.000025,Gaussian
Bucket,2,2,50,0.000031,Gaussian
Bucket,2,2,100,0.000033,Gaussian
Bucket,2,2,200,0.000031,Gaussian
Bucket,2,2,400,0.000034,Gaussian
Bucket,2,2,800,0.000028,Gaussian
Bucket,2,2,1600,0.000031,Gaussian
Bucket,2,2,3200,0.000057,Gaussian
Bucket,2,2,6400,0.000056,Gaussian
Bucket,2,2,12800,0.000047,Gaussian
Bucket,2,2,25600,0.000032,Gaussian
Bucket,2,2,51200,0.000022,Gaussian
Bucket,3,2,50,0.000034,Gaussian
Bucket,3,2,100,0.000042,Gaussian
Bucket,3,2,200,0.000040,Gaussian
Bucket,3,2,400,0.000032,Gaussian
Bucket,3,2,800,0.000032,Gaussian
Bucket,3,2,1600,0.000028,Gaussian
Bucket,3,2,3200,0.000032,Gaussian
Bucket,3,2,6400,0.000050,Gaussian
Bucket,3,2,12800,0.000026,Gaussian
Bucket,3,2,25600,0.000044,Gaussian
Bucket,3,2,51200,0.000049,Gaussian
Bucket,4,2,50,0.000050,Gaussian
Bucket,4,2,100,0.000044,Gaussian
Bucket,4,2,200,0.000048,Gaussian
Bucket,4,2,400,0.000033,Gaussian
Bucket,4,2,800,0.000048,Gaussian
Bucket,4,2,1600,0.000037,Gaussian
Bucket,4,2,3200,0.000028,Gaussian
Bucket,4,2,6400,0.000035,Gaussian
Bucket,4,2,12800,0.000047,Gaussian
Bucket,4,2,25600,0.000045,Gaussian
Bucket,4,2,51200,0.000046,Gaussian
Bucket,5,2,50,0.000038,Gaussian
Bucket,5,2,100,0.000025,Gaussian
Bucket,5,2,200,0.000029,Gaussian
Bucket,5,2,400,0.000031,Gaussian
Bucket,5,2,800,0.000035,Gaussian
Bucket,5,2,1600,0.000037,Gaussian
Bucket,5,2,3200,0.000043,Gaussian
Bucket,5,2,6400,0.000028,Gaussian
Bucket,5,2,12800,0.000036,Gaussian
Bucket,5,2,25600,0.000041,Gaussian
Bucket,5,2,51200,0.000030,Gaussian
Bucket,6,2,50,0.000026,Gaussian
Bucket,6,2,100,0.000031,Gaussian
Bucket,6,2,200,0.000033,Gaussian
Bucket,6,2,400,0.000026,Gaussian
Bucket,6,2,800,0.000051,Gaussian
Bucket,6,2,1600,0.000041,Gaussian
Bucket,6,2,3200,0.000028,Gaussian
Bucket,6,2,6400,0.000030,Gaussian
Bucket,6,2,12800,0.000032,Gaussian
Bucket,6,2,25600,0.000026,Gaussian
Bucket,6,2,51200,0.000031,Gaussian
Bucket,7,2,50,0.000036,Gaussian
Bucket,7,2,100,0.000031,Gaussian
Bucket,7,2,200,0.000038,Gaussian
Bucket,7,2,400,0.000033,Gaussian
Bucket,7,2,800,0.000034,Gaussian
Bucket,7,2,1600,0.000036,Gaussian
Bucket,7,2,3200,0.000037,Gaussian
Bucket,7,2,6400,0.000032,Gaussian
Bucket,7,2,12800,0.000028,Gaussian
Bucket,7,2,25600,0.000030,Gaussian
Bucket,7,2,51200,0.000029,Gaussian
Bucket,8,2,50,0.000034,Gaussian
Bucket,8,2,100,0.000030,Gaussian
Bucket,8,2,200,0.000033,Gaussian
Bucket,8,2,400,0.000039,Gaussian
Bucket,8,2,800,0.000030,Gaussian
Bucket,8,2,1600,0.000034,Gaussian
Bucket,8,2,3200,0.000027,Gaussian
Bucket,8,2,6400,0.000026,Gaussian
Bucket,8,2,12800,0.000031,Gaussian
Bucket,8,2,25600,0.000031,Gaussian
Bucket,8,2,51200,0.000038,Gaussian
Bucket,9,2,50,0.000047,Gaussian
Bucket,9,2,100,0.000038,Gaussian
Bucket,9,2,200,0.000027,Gaussian
Bucket,9,2,400,0.000032,Gaussian
Bucket,9,2,800,0.000025,Gaussian
Bucket,9,2,1600,0.000033,Gaussian
Bucket,9,2,3200,0.000035,Gaussian
Bucket,9,2,6400,0.000041,Gaussian
Bucket,9,2,12800,0.000040,Gaussian
Bucket,9,2,25600,0.000051,Gaussian
Bucket,9,2,51200,0.000034,Gaussian
Bucket,1,5,50,0.000223,Gaussian
Bucket,1,5,100,0.000249,Gaussian
Bucket,1,5,200,0.000230,Gaussian
Bucket,1,5,400,0.000211,Gaussian
Bucket,1,5,800,0.000233,Gaussian
Bucket,1,5,1600,0.000243,Gaussian
Bucket,1,5,3200,0.000205,Gaussian
Bucket,1,5,6400,0.000268,Gaussian
Bucket,1,5,12800,0.000238,Gaussian
Bucket,1,5,25600,0.000240,Gaussian
Bucket,1,5,51200,0.000258,Gaussian
Bucket,2,5,50,0.000182,Gaussian
Bucket,2,5,100,0.000253,Gaussian
Bucket,2,5,200,0.000264,Gaussian
Bucket,2,5,400,0.000253,Gaussian
Bucket,2,5,800,0.000258,Gaussian
Bucket,2,5,1600,0.000246,Gaussian
Bucket,2,5,3200,0.000260,Gaussian
Bucket,2,5,6400,0.000285,Gaussian
Bucket,2,5,12800,0.000233,Gaussian
Bucket,2,5,25600,0.000316,Gaussian
Bucket,2,5,51200,0.000295,Gaussian
Bucket,3,5,50,0.000229,Gaussian
Bucket,3,5,100,0.000273,Gaussian
Bucket,3,5,200,0.000289,Gaussian
Bucket,3,5,400,0.000271,Gaussian
Bucket,3,5,800,0.000274,Gaussian
Bucket,3,5,1600,0.000230,Gaussian
Bucket,3,5,3200,0.000375,Gaussian
Bucket,3,5,6400,0.000341,Gaussian
Bucket,3,5,12800,0.000250,Gaussian
Bucket,3,5,25600,0.000277,Gaussian
Bucket,3,5,51200,0.000294,Gaussian
Bucket,4,5,50,0.000364,Gaussian
Bucket,4,5,100,0.000337,Gaussian
Bucket,4,5,200,0.000294,Gaussian
Bucket,4,5,400,0.000286,Gaussian
Bucket,4,5,800,0.000301,Gaussian
Bucket,4,5,1600,0.000312,Gaussian
Bucket,4,5,3200,0.000339,Gaussian
Bucket,4,5,6400,0.000272,Gaussian
Bucket,4,5,12800,0.000279,Gaussian
Bucket,4,5,25600,0.000339,Gaussian
Bucket,4,5,51200,0.000359,Gaussian
Bucket,5,5,50,0.000320,Gaussian
Bucket,5,5,100,0.000318,Gaussian
Bucket,5,5,200,0.000312,Gaussian
Bucket,5,5,400,0.000310,Gaussian
Bucket,5,5,800,0.000357,Gaussian
Bucket,5,5,1600,0.000355,Gaussian
Bucket,5,5,3200,0.000305,Gaussian
Bucket,5,5,6400,0.000271,Gaussian
Bucket,5,5,12800,0.000342,Gaussian
Bucket,5,5,25600,0.000277,Gaussian
Bucket,5,5,51200,0.000220,Gaussian
Bucket,6,5,50,0.000290,Gaussian
Bucket,6,5,100,0.000253,Gaussian
Bucket,6,5,200,0.000291,Gaussian
Bucket,6,5,400,0.000257,Gaussian
Bucket,6,5,800,0.000298,Gaussian
Bucket,6,5,1600,0.000280,Gaussian
Bucket,6,5,3200,0.000329,Gaussian
Bucket,6,5,6400,0.000336,Gaussian
Bucket,6,5,12800,0.000284,Gaussian
Bucket,6,5,25600,0.000332,Gaussian
Bucket,6,5,51200,0.000302,Gaussian
Bucket,7,5,50,0.000298,Gaussian
Bucket,7,5,100,0.000364,Gaussian
Bucket,7,5,200,0.000319,Gaussian
Bucket,7,5,400,0.000403,Gaussian
Bucket,7,5,800,0.000392,Gaussian
Bucket,7,5,1600,0.000266,Gaussian
Bucket,7,5,3200,0.000314,Gaussian
Bucket,7,5,6400,0.000418,Gaussian
Bucket,7,5,12800,0.000321,Gaussian
Bucket,7,5,25600,0.000358,Gaussian
Bucket,7,5,51200,0.000346,Gaussian
Bucket,8,5,50,0.000347,Gaussian
Bucket,8,5,100,0.000274,Gaussian
Bucket,8,5,200,0.000322,Gaussian
Bucket,8,5,400,0.000324,Gaussian
Bucket,8,5,800,0.000297,Gaussian
Bucket,8,5,1600,0.000346,Gaussian
Bucket,8,5,3200,0.000360,Gaussian
Bucket,8,5,6400,0.000336,Gaussian
Bucket,8,5,12800,0.000412,Gaussian
Bucket,8,5,25600,0.000332,Gaussian
Bucket,8,5,51200,0.000320,Gaussian
Bucket,9,5,50,0.000314,Gaussian
Bucket,9,5,100,0.000409,Gaussian
Bucket,9,5,200,0.000313,Gaussian
Bucket,9,5,400,0.000344,Gaussian
Bucket,9,5,800,0.000314,Gaussian
Bucket,9,5,1600,0.000316,Gaussian
