DataType,KNN,Dimensions,NumPoints,Time,Distribution
Bucket,1,2,50,0.000012,Uniform
Bucket,1,2,100,0.000015,Uniform
Bucket,1,2,200,0.000014,Uniform
Bucket,1,2,400,0.000015,Uniform
Bucket,1,2,800,0.000016,Uniform
Bucket,1,2,1600,0.000015,Uniform
Bucket,1,2,3200,0.000012,Uniform
Bucket,1,2,6400,0.000013,Uniform
Bucket,1,2,12800,0.000014,Uniform
Bucket,1,2,25600,0.000018,Uniform
Bucket,1,2,51200,0.000013,Uniform
Bucket,2,2,50,0.000014,Uniform
Bucket,2,2,100,0.000019,Uniform
Bucket,2,2,200,0.000014,Uniform
Bucket,2,2,400,0.000016,Uniform
Bucket,2,2,800,0.000018,Uniform
Bucket,2,2,1600,0.000016,Uniform
Bucket,2,2,3200,0.000014,Uniform
Bucket,2,2,6400,0.000017,Uniform
Bucket,2,2,12800,0.000020,Uniform
Bucket,2,2,25600,0.000018,Uniform
Bucket,2,2,51200,0.000017,Uniform
Bucket,3,2,50,0.000015,Uniform
Bucket,3,2,100,0.000021,Uniform
Bucket,3,2,200,0.000019,Uniform
Bucket,3,2,400,0.000022,Uniform
Bucket,3,2,800,0.000018,Uniform
Bucket,3,2,1600,0.000022,Uniform
Bucket,3,2,3200,0.000029,Uniform
Bucket,3,2,6400,0.000021,Uniform
Bucket,3,2,12800,0.000017,Uniform
Bucket,3,2,25600,0.000019,Uniform
Bucket,3,2,51200,0.000019,Uniform
Bucket,4,2,50,0.000019,Uniform
Bucket,4,2,100,0.000021,Uniform
Bucket,4,2,200,0.000020,Uniform
Bucket,4,2,400,0.000019,Uniform
Bucket,4,2,800,0.000017,Uniform
Bucket,4,2,1600,0.000019,Uniform
Bucket,4,2,3200,0.000017,Uniform
Bucket,4,2,6400,0.000022,Uniform
Bucket,4,2,12800,0.000021,Uniform
Bucket,4,2,25600,0.000022,Uniform
Bucket,4,2,51200,0.000024,Uniform
Bucket,5,2,50,0.000021,Uniform
Bucket,5,2,100,0.000020,Uniform
Bucket,5,2,200,0.000019,Uniform
Bucket,5,2,400,0.000017,Uniform
Bucket,5,2,800,0.000020,Uniform
Bucket,5,2,1600,0.000023,Uniform
Bucket,5,2,3200,0.000021,Uniform
Bucket,5,2,6400,0.000020,Uniform
Bucket,5,2,12800,0.000021,Uniform
Bucket,5,2,25600,0.000021,Uniform
Bucket,5,2,51200,0.000024,Uniform
Bucket,6,2,50,0.000022,Uniform
Bucket,6,2,100,0.000030,Uniform
Bucket,6,2,200,0.000021,Uniform
Bucket,6,2,400,0.000018,Uniform
Bucket,6,2,800,0.000024,Uniform
Bucket,6,2,1600,0.000030,Uniform
Bucket,6,2,3200,0.000028,Uniform
Bucket,6,2,6400,0.000035,Uniform
Bucket,6,2,12800,0.000021,Uniform
Bucket,6,2,25600,0.000026,Uniform
Bucket,6,2,51200,0.000023,Uniform
Bucket,7,2,50,0.000032,Uniform
Bucket,7,2,100,0.000027,Uniform
Bucket,7,2,200,0.000037,Uniform
Bucket,7,2,400,0.000036,Uniform
Bucket,7,2,800,0.000033,Uniform
Bucket,7,2,1600,0.000036,Uniform
Bucket,7,2,3200,0.000044,Uniform
Bucket,7,2,6400,0.000038,Uniform
Bucket,7,2,12800,0.000030,Uniform
Bucket,7,2,25600,0.000020,Uniform
Bucket,7,2,51200,0.000021,Uniform
Bucket,8,2,50,0.000019,Uniform
Bucket,8,2,100,0.000024,Uniform
Bucket,8,2,200,0.000023,Uniform
Bucket,8,2,400,0.000029,Uniform
Bucket,8,2,800,0.000024,Uniform
Bucket,8,2,1600,0.000025,Uniform
Bucket,8,2,3200,0.000027,Uniform
Bucket,8,2,6400,0.000031,Uniform
Bucket,8,2,12800,0.000023,Uniform
Bucket,8,2,25600,0.000022,Uniform
Bucket,8,2,51200,0.000025,Uniform
Bucket,9,2,50,0.000035,Uniform
Bucket,9,2,100,0.000021,Uniform
Bucket,9,2,200,0.000029,Uniform
Bucket,9,2,400,0.000023,Uniform
Bucket,9,2,800,0.000025,Uniform
Bucket,9,2,1600,0.000024,Uniform
Bucket,9,2,3200,0.000025,Uniform
Bucket,9,2,6400,0.000027,Uniform
Bucket,9,2,12800,0.000027,Uniform
Bucket,9,2,25600,0.000026,Uniform
Bucket,9,2,51200,0.000025,Uniform
Bucket,1,5,50,0.000273,Uniform
Bucket,1,5,100,0.000272,Uniform
Bucket,1,5,200,0.000233,Uniform
