DataType,KNN,Dimensions,NumPoints,Time,Distribution
QuadTree,1,2,50,0.000034,Gaussian
QuadTree,1,2,100,0.000050,Gaussian
QuadTree,1,2,200,0.000052,Gaussian
QuadTree,1,2,400,0.000032,Gaussian
QuadTree,1,2,800,0.000047,Gaussian
QuadTree,1,2,1600,0.000043,Gaussian
QuadTree,1,2,3200,0.000042,Gaussian
QuadTree,1,2,6400,0.000047,Gaussian
QuadTree,1,2,12800,0.000036,Gaussian
QuadTree,1,2,25600,0.000036,Gaussian
QuadTree,1,2,51200,0.000025,Gaussian
QuadTree,2,2,50,0.000031,Gaussian
QuadTree,2,2,100,0.000033,Gaussian
QuadTree,2,2,200,0.000031,Gaussian
QuadTree,2,2,400,0.000034,Gaussian
QuadTree,2,2,800,0.000028,Gaussian
QuadTree,2,2,1600,0.000031,Gaussian
QuadTree,2,2,3200,0.000057,Gaussian
QuadTree,2,2,6400,0.000056,Gaussian
QuadTree,2,2,12800,0.000047,Gaussian
QuadTree,2,2,25600,0.000032,Gaussian
QuadTree,2,2,51200,0.000022,Gaussian
QuadTree,3,2,50,0.000034,Gaussian
QuadTree,3,2,100,0.000042,Gaussian
QuadTree,3,2,200,0.000040,Gaussian
QuadTree,3,2,400,0.000032,Gaussian
QuadTree,3,2,800,0.000032,Gaussian
QuadTree,3,2,1600,0.000028,Gaussian
QuadTree,3,2,3200,0.000032,Gaussian
QuadTree,3,2,6400,0.000050,Gaussian
QuadTree,3,2,12800,0.000026,Gaussian
QuadTree,3,2,25600,0.000044,Gaussian
QuadTree,3,2,51200,0.000049,Gaussian
QuadTree,4,2,50,0.000050,Gaussian
QuadTree,4,2,100,0.000044,Gaussian
QuadTree,4,2,200,0.000048,Gaussian
QuadTree,4,2,400,0.000033,Gaussian
QuadTree,4,2,800,0.000048,Gaussian
QuadTree,4,2,1600,0.000037,Gaussian
QuadTree,4,2,3200,0.000028,Gaussian
QuadTree,4,2,6400,0.000035,Gaussian
QuadTree,4,2,12800,0.000047,Gaussian
QuadTree,4,2,25600,0.000045,Gaussian
QuadTree,4,2,51200,0.000046,Gaussian
QuadTree,5,2,50,0.000038,Gaussian
QuadTree,5,2,100,0.000025,Gaussian
QuadTree,5,2,200,0.000029,Gaussian
QuadTree,5,2,400,0.000031,Gaussian
QuadTree,5,2,800,0.000035,Gaussian
QuadTree,5,2,1600,0.000037,Gaussian
QuadTree,5,2,3200,0.000043,Gaussian
QuadTree,5,2,6400,0.000028,Gaussian
QuadTree,5,2,12800,0.000036,Gaussian
QuadTree,5,2,25600,0.000041,Gaussian
QuadTree,5,2,51200,0.000030,Gaussian
QuadTree,6,2,50,0.000026,Gaussian
QuadTree,6,2,100,0.000031,Gaussian
QuadTree,6,2,200,0.000033,Gaussian
QuadTree,6,2,400,0.000026,Gaussian
QuadTree,6,2,800,0.000051,Gaussian
QuadTree,6,2,1600,0.000041,Gaussian
QuadTree,6,2,3200,0.000028,Gaussian
QuadTree,6,2,6400,0.000030,Gaussian
QuadTree,6,2,12800,0.000032,Gaussian
QuadTree,6,2,25600,0.000026,Gaussian
QuadTree,6,2,51200,0.000031,Gaussian
QuadTree,7,2,50,0.000036,Gaussian
QuadTree,7,2,100,0.000031,Gaussian
QuadTree,7,2,200,0.000038,Gaussian
QuadTree,7,2,400,0.000033,Gaussian
QuadTree,7,2,800,0.000034,Gaussian
QuadTree,7,2,1600,0.000036,Gaussian
QuadTree,7,2,3200,0.000037,Gaussian
QuadTree,7,2,6400,0.000032,Gaussian
QuadTree,7,2,12800,0.000028,Gaussian
QuadTree,7,2,25600,0.000030,Gaussian
QuadTree,7,2,51200,0.000029,Gaussian
QuadTree,8,2,50,0.000034,Gaussian
QuadTree,8,2,100,0.000030,Gaussian
QuadTree,8,2,200,0.000033,Gaussian
QuadTree,8,2,400,0.000039,Gaussian
QuadTree,8,2,800,0.000030,Gaussian
QuadTree,8,2,1600,0.000034,Gaussian
QuadTree,8,2,3200,0.000027,Gaussian
QuadTree,8,2,6400,0.000026,Gaussian
QuadTree,8,2,12800,0.000031,Gaussian
QuadTree,8,2,25600,0.000031,Gaussian
QuadTree,8,2,51200,0.000038,Gaussian
QuadTree,9,2,50,0.000047,Gaussian
QuadTree,9,2,100,0.000038,Gaussian
QuadTree,9,2,200,0.000027,Gaussian
QuadTree,9,2,400,0.000032,Gaussian
QuadTree,9,2,800,0.000025,Gaussian
QuadTree,9,2,1600,0.000033,Gaussian
QuadTree,9,2,3200,0.000035,Gaussian
QuadTree,9,2,6400,0.000041,Gaussian
QuadTree,9,2,12800,0.000040,Gaussian
QuadTree,9,2,25600,0.000051,Gaussian
QuadTree,9,2,51200,0.000034,Gaussian
