DataType,KNN,Dimensions,NumPoints,Time,Distribution
QuadTree,1,2,50,0.000012,Uniform
QuadTree,1,2,100,0.000015,Uniform
QuadTree,1,2,200,0.000014,Uniform
QuadTree,1,2,400,0.000015,Uniform
QuadTree,1,2,800,0.000016,Uniform
QuadTree,1,2,1600,0.000015,Uniform
QuadTree,1,2,3200,0.000012,Uniform
QuadTree,1,2,6400,0.000013,Uniform
QuadTree,1,2,12800,0.000014,Uniform
QuadTree,1,2,25600,0.000018,Uniform
QuadTree,1,2,51200,0.000013,Uniform
QuadTree,2,2,50,0.000014,Uniform
QuadTree,2,2,100,0.000019,Uniform
QuadTree,2,2,200,0.000014,Uniform
QuadTree,2,2,400,0.000016,Uniform
QuadTree,2,2,800,0.000018,Uniform
QuadTree,2,2,1600,0.000016,Uniform
QuadTree,2,2,3200,0.000014,Uniform
QuadTree,2,2,6400,0.000017,Uniform
QuadTree,2,2,12800,0.000020,Uniform
QuadTree,2,2,25600,0.000018,Uniform
QuadTree,2,2,51200,0.000017,Uniform
QuadTree,3,2,50,0.000015,Uniform
QuadTree,3,2,100,0.000021,Uniform
QuadTree,3,2,200,0.000019,Uniform
QuadTree,3,2,400,0.000022,Uniform
QuadTree,3,2,800,0.000018,Uniform
QuadTree,3,2,1600,0.000022,Uniform
QuadTree,3,2,3200,0.000029,Uniform
QuadTree,3,2,6400,0.000021,Uniform
QuadTree,3,2,12800,0.000017,Uniform
QuadTree,3,2,25600,0.000019,Uniform
QuadTree,3,2,51200,0.000019,Uniform
QuadTree,4,2,50,0.000019,Uniform
QuadTree,4,2,100,0.000021,Uniform
QuadTree,4,2,200,0.000020,Uniform
QuadTree,4,2,400,0.000019,Uniform
QuadTree,4,2,800,0.000017,Uniform
QuadTree,4,2,1600,0.000019,Uniform
QuadTree,4,2,3200,0.000017,Uniform
QuadTree,4,2,6400,0.000022,Uniform
QuadTree,4,2,12800,0.000021,Uniform
QuadTree,4,2,25600,0.000022,Uniform
QuadTree,4,2,51200,0.000024,Uniform
QuadTree,5,2,50,0.000021,Uniform
QuadTree,5,2,100,0.000020,Uniform
QuadTree,5,2,200,0.000019,Uniform
QuadTree,5,2,400,0.000017,Uniform
QuadTree,5,2,800,0.000020,Uniform
QuadTree,5,2,1600,0.000023,Uniform
QuadTree,5,2,3200,0.000021,Uniform
QuadTree,5,2,6400,0.000020,Uniform
QuadTree,5,2,12800,0.000021,Uniform
QuadTree,5,2,25600,0.000021,Uniform
QuadTree,5,2,51200,0.000024,Uniform
QuadTree,6,2,50,0.000022,Uniform
QuadTree,6,2,100,0.000030,Uniform
QuadTree,6,2,200,0.000021,Uniform
QuadTree,6,2,400,0.000018,Uniform
QuadTree,6,2,800,0.000024,Uniform
QuadTree,6,2,1600,0.000030,Uniform
QuadTree,6,2,3200,0.000028,Uniform
QuadTree,6,2,6400,0.000035,Uniform
QuadTree,6,2,12800,0.000021,Uniform
QuadTree,6,2,25600,0.000026,Uniform
QuadTree,6,2,51200,0.000023,Uniform
QuadTree,7,2,50,0.000032,Uniform
QuadTree,7,2,100,0.000027,Uniform
QuadTree,7,2,200,0.000037,Uniform
QuadTree,7,2,400,0.000036,Uniform
QuadTree,7,2,800,0.000033,Uniform
QuadTree,7,2,1600,0.000036,Uniform
QuadTree,7,2,3200,0.000044,Uniform
QuadTree,7,2,6400,0.000038,Uniform
QuadTree,7,2,12800,0.000030,Uniform
QuadTree,7,2,25600,0.000020,Uniform
QuadTree,7,2,51200,0.000021,Uniform
QuadTree,8,2,50,0.000019,Uniform
QuadTree,8,2,100,0.000024,Uniform
QuadTree,8,2,200,0.000023,Uniform
QuadTree,8,2,400,0.000029,Uniform
QuadTree,8,2,800,0.000024,Uniform
QuadTree,8,2,1600,0.000025,Uniform
QuadTree,8,2,3200,0.000027,Uniform
QuadTree,8,2,6400,0.000031,Uniform
QuadTree,8,2,12800,0.000023,Uniform
QuadTree,8,2,25600,0.000022,Uniform
QuadTree,8,2,51200,0.000025,Uniform
QuadTree,9,2,50,0.000035,Uniform
QuadTree,9,2,100,0.000021,Uniform
QuadTree,9,2,200,0.000029,Uniform
QuadTree,9,2,400,0.000023,Uniform
QuadTree,9,2,800,0.000025,Uniform
QuadTree,9,2,1600,0.000024,Uniform
QuadTree,9,2,3200,0.000025,Uniform
QuadTree,9,2,6400,0.000027,Uniform
QuadTree,9,2,12800,0.000027,Uniform
QuadTree,9,2,25600,0.000026,Uniform
QuadTree,9,2,51200,0.000025,Uniform
